wallet_address,source,chain_type,network_name,caip2,ip,client_version,device_platform_os_version,device_token,device_brief_compatible,client_created_at,created_at
TGMBzGHonpPDRTyFkBwf3NDP4M6Dv7qWfi,DELETE_WALLET,,,,223.104.136.53,,ios:14.3,6DDECB62-BCF5-4775-B5A3-A7D7E68F722D,Apple:iPhone SE:cNgEXY1lyEiYvlX0uHPM5q:APA91bG_NLqdlgxF8D_Afstv7lMKbmQJga3k7K5xs9qww7ovfaJzlTl4oGJckFC5A5yHTvLUyk8JweNJSBgMcSVQx1FcYX3RaA_eV0B_sgPH4MwaviOCSg8,,2024-11-22 13:23:39 +0800
TGMBzGHonpPDRTyFkBwf3NDP4M6Dv7qWfi,MNEMONIC,TRON,Tron,tip174:00000000000000001ebf88508a03865c,111.55.96.67,ios:2.15.8.7143:93,ios:14.3,6DDECB62-BCF5-4775-B5A3-A7D7E68F722D,Apple:iPhone SE:cNgEXY1lyEiYvlX0uHPM5q:APA91bG_NLqdlgxF8D_Afstv7lMKbmQJga3k7K5xs9qww7ovfaJzlTl4oGJckFC5A5yHTvLUyk8JweNJSBgMcSVQx1FcYX3RaA_eV0B_sgPH4MwaviOCSg8,2024-11-18 23:46:07 +0800,2024-11-18 23:46:10 +0800
TGMBzGHonpPDRTyFkBwf3NDP4M6Dv7qWfi,NEW_MNEMONIC,TRON,Tron,tip174:00000000000000001ebf88508a03865c,16.162.88.172,ios:2.15.8.7143:93,ios:18.1.1,1785C899-7FB9-43B1-978D-EE99EC6BAFCA,Apple:iPhone 12:dE7XhJlMVUFokyrlK6oQ6I:APA91bEnwLhV4I17hM1ARmcvmp8gLMWtP7grSAYkhaKRmgXUdsJJuo64ajXOdK0jJAoAioTojqYz07W0gxP52wOKYsVq4racG89MoHWcCiMuZl1-P5-x5oQ,2024-11-18 23:13:26 +0800,2024-11-18 23:13:28 +0800
≤‚ ‘,23,324,345,35,34,345,43,,,,
